id,name,gender,birth_date,height,weight,country_id
1,Svetlana Jung,Female,2005-12-04,175.9,73.7,1
2,Mary Yamamoto,Female,1987-07-11,165.4,68.3,2
3,Oksana Volkov,Female,1987-02-02,164.2,67.2,3
4,Rui Suzuki,Male,1992-12-08,190.0,76.0,4
5,Natalya Grigoryan,Female,1997-11-15,175.8,60.9,5
6,Bogdan Bekele,Male,1990-02-13,195.5,86.5,6
7,Monika Ito,Female,1993-02-28,200.5,86.6,7
8,Elnur Shah,Male,1983-05-08,189.4,81.3,8
9,Natalya Mammadov,Female,1985-12-23,194.5,78.1,9
10,Matthew Martin,Male,2002-02-02,178.7,83.9,10
11,Meseret Haile,Female,1995-12-02,163.2,67.3,3
12,Sun Mammadov,Male,1983-01-03,197.1,78.2,11
13,Michelle Popov,Female,2000-04-02,192.0,73.4,12
14,Romain Dibaba,Male,1991-04-19,163.2,123.0,13
15,John Constantin,Male,1990-10-04,193.7,90.2,14
16,Jiajun Batjargal,Male,2000-11-04,183.8,83.7,15
17,Christopher Bekele,Male,1983-05-02,188.9,82.1,16
18,Nataliya Batjargal,Female,2005-07-05,200.0,91.2,17
19,Tigran Tanaka,Male,1984-03-14,182.0,117.2,4
20,Valentina Yoon,Female,2002-01-22,181.9,71.0,18
21,Sandrine Hernandez,Female,1996-10-17,163.1,97.0,17
22,Kamran Sanchez,Male,1990-06-22,174.4,82.9,19
23,Asha Babayev,Female,1983-01-10,183.0,74.6,20
24,Lisa Kwon,Female,1988-05-08,189.4,60.8,21
25,George Johnson,Male,1985-02-25,163.2,74.7,22
26,Camelia Kaminski,Female,2004-12-28,170.4,63.1,23
27,Paolo Zhao,Male,1987-04-03,165.7,88.6,11
28,Giulia Adeyemi,Female,1982-07-18,169.4,46.0,7
29,Gantulga Aliyev,Male,2009-07-19,172.0,80.2,2
30,Ekaterina Phelps,Female,1994-01-24,187.1,80.6,24
31,Arsen Lee,Male,1995-12-09,181.5,87.9,25
32,Mark Romano,Male,1982-11-20,164.6,80.9,1
33,Gunel Zhao,Female,1996-03-24,187.8,82.9,26
34,Aurelie Wilson,Female,1994-06-06,191.0,83.8,27
35,Florent Shevchenko,Male,1989-12-16,180.3,55.3,28
36,Sofia Greco,Female,2001-04-04,186.6,68.2,29
37,Ondrej Aliyev,Male,2005-05-02,190.9,79.2,14
38,Magdalena Robinson,Female,1991-11-22,179.7,78.7,30
39,Halyna Kiros,Female,2000-10-20,176.8,50.5,2
40,Maria Moore,Female,2002-05-23,197.7,109.4,31
41,Elmar Martin,Male,1983-03-03,178.7,92.5,10
42,Anahit Gonzalez,Female,1990-05-01,175.4,107.1,17
43,Tirunesh Silva,Female,1999-11-04,161.1,58.1,6
44,Jessica Popov,Female,1993-06-20,161.5,60.6,6
45,Giorgi Gebrselassie,Male,2007-04-27,190.4,75.9,22
46,Tigran Martinez,Male,2001-07-11,215.0,99.4,5
47,Gantulga Müller,Male,1991-07-08,171.3,46.3,3
48,Patricia Liu,Female,1996-11-05,189.5,112.6,32
49,Lars Rossi,Male,2002-12-03,187.1,56.6,17
50,Gabriela Kato,Female,2004-03-03,190.8,85.2,22
51,Matthew Kowalczyk,Male,1998-10-10,189.6,53.9,1
52,Elena Williams,Female,1991-11-25,187.7,59.1,22
53,Walter Wójcik,Male,2008-10-12,168.6,64.0,11
54,Alexandra Esposito,Female,1986-06-26,194.0,76.7,33
55,Nataliya Yadav,Female,1983-11-12,181.6,67.5,21
56,Karolina Gebremariam,Female,2006-04-18,186.8,64.6,7
57,Natalya Kowalczyk,Female,1995-04-28,173.0,52.6,17
58,Thomas Silva,Male,2002-03-26,186.8,64.3,6
59,Nino Fischer,Male,1984-03-04,181.8,55.4,34
60,Faith Shah,Female,1993-10-04,176.8,84.2,13
61,Darya Yang,Female,2007-03-09,176.2,98.1,30
62,Julien Santos,Male,1983-08-13,172.4,61.1,14
63,Kimberly Gantulga,Female,2008-10-18,190.1,112.7,30
64,Olga Farah,Female,1998-09-12,183.1,76.9,34
65,Hovhannes Liu,Male,1991-11-13,176.4,70.6,7
66,Liang Jackson,Male,1988-02-09,166.0,96.0,35
67,Susan Choi,Female,1997-10-02,169.8,55.3,36
68,Emily Kamau,Female,1982-12-02,174.5,80.6,37
69,Lisa Wiśniewski,Female,1982-02-08,187.4,73.9,16
70,Naira Yang,Female,2002-02-05,183.7,70.8,21
71,Arjun Martinez,Male,1994-08-21,175.5,61.5,14
72,Vikram Navruzov,Male,1989-04-11,184.5,54.5,27
73,Nisha Gebrselassie,Female,1985-06-22,192.3,80.5,38
74,Valentina Mwangi,Female,2005-10-23,184.4,88.7,33
75,Luis Melnyk,Male,2003-04-05,167.2,71.9,39
76,Aysel Kwon,Female,1995-10-10,181.0,117.4,40
77,Oleksandr Petrov,Male,1984-10-05,177.2,67.5,22
78,Kamran Choi,Male,1983-08-12,168.4,54.4,41
79,Franz Dinu,Male,1987-03-25,169.9,63.5,34
80,Karen Bekele,Female,1983-08-20,175.9,55.0,3
81,Tsend-Ochir Nozadze,Male,1992-09-26,181.5,133.5,21
82,Razvan Yuldashev,Male,1986-06-05,194.4,70.8,24
